Simulation,HeadStart,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,FCFS_SeekTime,,SSTF_SeekTime,,LOOK_SeekTime,,SCAN_SeekTime,,CSCAN_SeekTime
1,56,5,8,12,22,22,38,38,45,63,73,75,77,84,87,95,354,,129,,141,,151,,189
2,10,13,16,20,28,31,31,32,41,46,52,56,68,70,70,74,384,,64,,64,,84,,190
3,98,3,7,12,15,17,18,18,36,52,53,62,62,77,87,96,679,,95,,95,,98,,198
4,6,14,15,19,19,23,25,45,47,53,78,86,88,88,93,96,595,,90,,90,,102,,194
5,68,6,19,26,31,32,41,52,60,63,64,71,79,80,90,91,395,,153,,147,,159,,196
6,98,2,14,17,19,29,31,33,34,35,37,62,78,81,87,94,473,,96,,96,,98,,196
7,99,1,4,11,23,26,28,32,37,42,44,52,55,59,82,93,588,,98,,98,,99,,194
8,92,0,0,28,33,46,55,55,59,59,61,69,69,85,90,95,459,,112,,187,,187,,198
9,79,12,21,27,33,33,35,47,49,50,57,59,61,77,81,95,464,,154,,150,,174,,198
10,61,0,9,9,24,26,30,34,47,57,58,67,84,87,95,98,707,,159,,159,,159,,197
11,87,3,9,10,10,11,17,24,27,69,71,85,89,91,94,94,858,,102,,175,,181,,198
12,12,3,4,6,8,22,22,28,32,36,53,69,91,94,96,100,818,,106,,106,,112,,196
13,100,6,6,7,8,12,17,32,55,59,66,69,77,85,86,90,628,,94,,94,,100,,190
14,23,24,31,34,41,48,48,59,69,71,74,82,86,91,92,98,461,,75,,75,,121,,177
15,3,2,3,13,18,19,32,48,51,75,76,79,82,83,93,96,694,,95,,95,,99,,199
16,96,8,11,13,29,49,50,51,55,62,70,73,76,78,78,98,493,,92,,178,,194,,182
17,8,0,9,9,23,24,34,47,52,56,80,81,87,93,97,99,594,,109,,107,,107,,192
18,40,1,2,13,29,33,34,36,58,60,65,82,90,93,94,100,751,,138,,138,,140,,196
19,100,0,5,20,27,38,54,57,60,76,77,82,90,95,97,100,643,,100,,200,,200,,197
20,28,0,1,8,12,27,27,37,42,43,48,49,55,74,88,92,474,,158,,120,,120,,199
21,69,10,16,30,30,39,50,54,58,67,78,78,84,87,88,94,459,,143,,143,,163,,198
22,27,3,7,8,12,21,34,46,52,59,81,86,93,94,95,96,588,,117,,117,,123,,194
23,43,1,19,19,25,29,29,33,43,55,57,64,69,76,80,99,458,,140,,140,,142,,190
24,74,8,10,11,23,25,28,44,46,51,63,75,76,79,84,95,502,,108,,153,,169,,189
25,41,9,12,20,32,40,41,46,49,54,58,60,80,88,88,94,519,,140,,117,,135,,199
26,42,14,16,21,40,44,53,56,57,61,69,75,91,92,92,92,415,,132,,106,,134,,198
27,24,0,3,6,7,9,33,52,54,56,79,81,84,90,93,98,628,,172,,122,,122,,185
28,43,7,11,17,22,28,33,37,38,39,39,45,71,73,88,91,494,,124,,120,,134,,196
29,71,3,3,6,6,7,11,24,30,41,45,50,58,88,89,100,496,,165,,165,,171,,187
30,76,5,8,13,18,20,21,33,36,37,55,58,75,81,81,90,377,,101,,156,,166,,199
31,96,7,11,16,35,39,52,53,53,53,54,60,61,74,80,94,310,,89,,89,,96,,198
32,62,0,11,21,22,29,40,44,76,78,90,90,92,93,94,96,540,,130,,158,,158,,182
33,20,13,19,30,32,37,40,46,53,60,60,63,70,77,95,96,451,,90,,90,,116,,199
34,49,5,9,11,12,15,15,15,26,40,43,43,48,59,66,75,380,,114,,114,,124,,199
35,91,1,2,6,23,24,24,32,32,34,56,58,71,74,75,75,463,,90,,90,,91,,184
36,62,6,26,36,43,43,45,48,53,56,60,76,76,86,88,92,494,,142,,142,,154,,198
37,48,7,12,29,37,47,49,57,60,74,75,80,83,86,91,97,442,,141,,131,,145,,199
38,3,1,12,15,18,33,63,65,67,70,72,75,81,83,88,96,556,,97,,97,,99,,198
39,85,0,4,4,16,18,21,25,25,40,51,54,56,64,79,91,515,,97,,176,,176,,194
40,28,6,8,10,16,17,26,35,37,37,40,85,87,88,90,97,504,,141,,113,,125,,198
41,2,0,0,8,20,24,29,47,62,66,71,73,75,93,98,98,561,,100,,100,,100,,198
42,31,6,15,16,16,27,30,40,56,64,68,69,74,82,86,92,549,,111,,111,,123,,199
43,0,0,13,17,18,24,29,30,34,49,57,61,67,89,90,97,471,,97,,97,,97,,200
44,46,9,10,16,17,45,49,50,53,53,57,61,70,82,86,98,430,,143,,126,,144,,199
45,100,14,15,20,22,46,63,65,67,75,83,87,87,91,95,97,586,,86,,86,,100,,197
46,45,0,11,25,29,29,31,35,44,48,66,80,82,85,89,91,485,,144,,136,,136,,199
47,30,2,13,13,20,35,37,40,44,46,57,67,68,69,80,83,423,,134,,109,,113,,190
48,52,1,4,15,15,24,26,34,46,57,71,80,85,86,92,94,510,,154,,144,,146,,194
49,66,0,6,11,21,30,35,42,56,62,66,71,72,81,87,96,648,,162,,162,,162,,196
50,78,0,6,10,14,14,17,31,34,46,52,53,57,69,82,94,612,,110,,172,,172,,191
AverageSeekTime,,,,,,,,,,,,,,,,,527.56,,118.66,,125.94,,134.42,,194.46
